title,genre,director,country,year
20 тысяч разновидностей пчёл,"драма и .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} ЛГБТ-фильм [вд]",Эстибалис Урресола [вд],Испания,2023
20 сигарет,драма комедия,Александр Горновский,Россия,2007
20 сантиметров,комедия мюзикл,Рамон Саласар,,2005
20 миллионов миль до Земли,"научно-фантастический фильм , фильм о монстрах , фильм-катастрофа , приключения , фэнтези , фильм-триллер , фильм ужасов и .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} научно-фантастический фильм ужасов [вд]",Натан Юран,,1957
20 дней в Мариуполе,документальный фильм и военный фильм,Мстислав Чернов,Украина,2023
20 декабря (телефильм),исторический фильм,Григорий Никулин,СССР,
"20 000 лье под водой (фильм, 1997)","приключенческий фильм, научная фантастика",Род Харди,США,1997
"20 000 лье под водой (фильм, 1954)","драма , стимпанк , приключенческий фильм",Ричард Флейшер,США,1954
"20 000 лье под водой (фильм, 1916)",фантастика,Стюарт Патон,США,1916
20 000 лет в Синг-Синге,Криминальная мелодрама Тюремная драма,Майкл Кёртис,США,1932
20 000 дней на Земле,документальный музыкальный,Айан Форсайт Джейн Поллард,Великобритания,2014
18-летняя девственница,комедия,Тамара Олсон,США,2008
18-14,исторический детектив приключение,Андрес Пуустусмаа,Россия,2007
"18 мая (фильм, 2007)",боевик драма военный история,Ким Джи Хун [англ.],Республика Корея,2007
18 килогерц,драма,Фархат Шарипов,Казахстан,2020
18 бронзовых бойцов,боевик драма,Джозеф Го [англ.],,1975 [ 1 ] [ 2 ]
17 девушек (фильм),драма,Дельфин Кулин Мюриэль Кулин,Франция,2011
16 кварталов,криминальный фильм драма триллер,Ричард Доннер,США,2006
16 желаний,подростковая фэнтезийная комедия,Питер Делуиз,США,
15 минут славы,Криминальная драма боевик,Джон Херцфелд,США,2001
15 августа (фильм),комедия,Патрик Алессандрен,Франция,2001
14+: Продолжение,мелодрама,Андрей Зайцев,Россия,2023
14+,мелодрама,Андрей Зайцев,Россия,2015
14 клинков,боевик триллер,Дэниел Ли,,2010
14 июля (фильм),комедия,Рене Клер,Франция,1933
14 амазонок,приключенческий фильм драма военный фильм,Чэн Ган Дун Шаоюн,Гонконг,1972
13-я жертва,ужасы,Мэл Хаус [англ.],США,2008
13-й участок,"криминальный фильм драма , экранизация",Мартин Фрич,Чехословакия,1946
13-й район: Ультиматум,боевик,Патрик Алессандрен ( фр. Patrick Alessandrin ),Франция,2009
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,,2014
13-й район,боевик,Пьер Морель,Франция,2004
13-й знак,Ужасы,Джонти Эктон Адам Мэйсон,Великобритания,2000
13-й апостол,фантастический фильм,Сурен Бабаян,СССР,1988
13 часов: Тайные солдаты Бенгази,военный драма триллер,Майкл Бэй,США,2016
13 убийц,боевик,Такаси Миикэ,Япония,2010
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия,1938
13 призраков,фильм ужасов,Уильям Касл,США,1960
13 изгнаний дьявола,фильм ужасов,Хакобо Мартинес,Испания,2022
13 друзей хунты,документальный,,Россия,2014
13 дней во Франции,документальный фильм спортивный фильм,Клод Лелуш Жиль Ги Франсуа Рейшенбах,Франция,1968
13 грехов,"триллер , фильм ужасов",Даниэль Штамм,США,2014
12:08 к востоку от Бухареста,комедия,Корнелиу Порумбою,Румыния,2006
"12 стульев (фильм, 1976)",комедия мюзикл мелодрама,Марк Захаров,СССР,
"12 стульев (фильм, 1971)",комедия,Леонид Гайдай,СССР,21 июня 1971
12 стульев (телеспектакль),телеспектакль,Александр Белинский,СССР,1966
12 раундов: Перезагрузка,боевик триллер,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Роэль Рейн [вд] [ 1 ] [ 2 ]",США,2013
12 раундов,боевик триллер криминал,Ренни Харлин,США,2009
"12 разгневанных мужчин (фильм, 1997)",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} процессуальная драма [вд]",Уильям Фридкин,США,
"12 разгневанных мужчин (фильм, 1957)",юридическая драма,Сидни Люмет,США,1957
12 обезьян (фильм),фантастика триллер драма антиутопия,Терри Гиллиам,США,1995
12 могил Ходжи Насреддина,"комедия , сказка",Климентий Минц,СССР,1966
12 месяцев. Новая сказка,"фильм-сказка , комедия , мелодрама , семейный фильм",Денис Елеонский,Россия,19 февраля 2015
"12 месяцев (фильм, 2013)",романтическая фэнтезийная комедия,Александр Баршак,Россия,2013
12 лет рабства,историческая драма,Стив Маккуин,,2013
12 дней страха,"ужасы , триллер , драма",Джек Шолдер,ЮАР,2004
12 (фильм),"психологический триллер , юридический детектив , драма",Никита Михалков,Россия,2007
,драма,Филипп Годо,Франция,2013
11:14,триллер детектив криминал чёрная комедия,Грег Маркс [англ.],,2003
11-11-11,фильм ужасов о сверхъестественном,Даррен Линн Боусман,,2011
11 сентября (фильм),драма исторический киноальманах,Самира Махмальбаф Клод Лелуш Юсеф Шахин Данис Танович Идрисса Уэдраого Кен Лоуч Алехандро Гонсалес Инарриту Амос Гитай Мира Наир Шон Пенн Сёхэй Имамура,,2002
10 шагов к успеху,комедийная драма,Брэд Силберлинг,США,2006
10 причин моей ненависти,подростковая романтическая комедия,Джил Джангер,США,1999
10 на 10,психологический триллер,Сьюзи Юинг,,2018
10 миль в час,Документальное кино,Хантер Уикс [англ.],США США,2007
10 лет спустя,романтическая комедийная драма,Джеми Линден,США,2011
10 000 лет до нашей эры,приключенческий боевик,Роланд Эммерих,,"22 февраля 2008 , 6 марта 2008 [ 1 ] , 7 марта 2008 [ 2 ] , 12 марта 2008 и 14 марта 2008 [ 3 ]"
"9/11 (фильм, 2017)",драма фильм-катастрофа,Мартин Гиги,США,2017
9 смертей ниндзя,боевик,Эмметт Олстон,США,1985
9 секунд,"биография , драма",Олег Штром,Россия,2024
9 рота (фильм),"военно - исторический боевик , драма",Фёдор Бондарчук,,2005
9 песен,драма мелодрама музыкальный фильм эротика,Майкл Уинтерботтом,Великобритания,2004
9 месяцев строгого режима,комедия,Альбер Дюпонтель,Франция,2013
9 мёртвых геев,драма комедия,Лаб Ки Мо,Великобритания,2002
9 мая. Личное отношение,Телеальманах,Авдотья Смирнова Александр Котт Владимир Котт Евгений Лаврентьев Карен Оганесян Максим Пежемский Егор Кончаловский Василий Чигинский,Россия,2008—2010
9 душ,фильм-драма,Тосиаки Тоёда,Япония,2003
9 апреля (фильм),"Военный, драма",Рони Эзра,Дания,2015
8-битное Рождество,комедия,Майкл Даус,США,2021
8 свиданий,Романтическая кинокомедия,"Перис Романо, Родриго Сорогойен",Испания,2008
8 подруг Оушена,кинокомедия криминальный фильм,Гэри Росс,США,2018
8 первых свиданий,"мелодрама , комедия",Дэвид Додсон Александр Маляревский,,2012
8 миллиметров,триллер криминал,Джоэл Шумахер,,1999
8 лучших свиданий,комедия / мелодрама,Марюс Вайсберг,,2016
8 женщин (фильм),мюзикл комедия детектив,Франсуа Озон,,2002
8 ½ $,криминальная комедия,Григорий Константинопольский,Россия,1999
8 (фильм),историческая драма,Хулио Медем,Испания,2025
7:35 утра,короткометражный музыкальный,Начо Вигалондо,Испания [ 1 ],"21 ноября 2003 , 12 марта 2004 , 17 мая 2009 и 29 октября 2010"
007: Спектр,шпионский фильм,Сэм Мендес,,2015
007: Координаты «Скайфолл»,шпионский фильм,Сэм Мендес,,2012
07-й меняет курс,боевик / драма,Владимир Потапов,Россия,2007
7 ящиков,триллер криминал,Хуан Карлос Манелья Тана Шембори,Парагвай,2012
7 секунд (фильм),боевик,Саймон Феллоуз,,28 июня 2005 и 12 сентября 2005
7 женщин,драма,Джон Форд,США,1966
"7 дней, 7 ночей (фильм, 2024)",семейный фильм,Айк Кбеян,Россия,2024
7 дней и ночей с Мэрилин,драма биография,Саймон Кёртис [англ.],Великобритания,2011
7 дней до смерти,драма фильм ужасов триллер,Себастьян Ниман,,2000
7 дней в Сирии,документальный фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Роберт Риппбергер [вд]",США,2015
7 главных желаний,комедия мелодрама,Вадим Соколовский,Россия,2013
6-й день,фантастика триллер,Роджер Споттисвуд,США,2000
6 дней,боевик триллер,Тоа Фрейзер,,2017
5×2,мелодрама драма,Франсуа Озон,Франция,2004
5-я волна,постапокалиптика научная фантастика,Дж. Блэйксон,США,2016
5 терапия,"драма , триллер , биография",Алиса Павловская,Украина,2017
"5 сантиметров в секунду (фильм, 2025)",,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Ёсиюки Окуяма [вд]",Япония,2025
5 разбитых камер,документальный фильм,"Эмад Бурнат, Гай Давиди",,2011
5 причин не влюбиться в казаха,комедия,Аскар Узабаев,Казахстан,2017
5 неизвестных,триллер,Симон Бранд,США,2006
5 недель (фильм),трагикомедия,Александр Андреев,Россия,2021
5 дней в августе,военный боевик,Ренни Харлин,,2011
,триллер,Ноэль Кларк,Великобритания,2010
4:44. Последний день на Земле,драма фантастика,Абель Феррара,США,2011
4:0 в пользу Танечки,комедия,Радомир Василевский,СССР,1982
4 x 4 (фильм),"драма, комедия","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара",,1965
"4 месяца, 3 недели и 2 дня",психологическая драма,Кристиан Мунджиу,Румыния,2007
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997
4 листа фанеры,детектив,Иван Гаврилюк Сайдо Курбанов,Украина,1992
4 дня в мае,военная драма боевик,Ахим фон Боррис,,2011
4 американских композитора,"документальный , музыкальный",Питер Гринуэй,Великобритания,1983
4 (фильм),драма,Илья Хржановский,,2004
3: История Дейла Эрнхардта,биографическая спортивная драма,Рассел Малкэхи,США,
3 ночи в пустыне,драма,Гэбриэль Коуэн [англ.],США,2014
"3 идиота (фильм, 2017)",комедия и семейный фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Карлос Боладо [вд]",Мексика,31 марта 2017
3 идиота,комедия / драма,Раджкумар Хирани,Индия,2009
3 гигантских человека,супергеройский фильм,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Tevfik Fikret Uçak [вд]",,"1 ноября, 1973"
2pac: Легенда,байопик драма боевик,Бенни Бум,США,2017
,драма семейный,Юго Желен,,2016
2:37,драма [ 1 ] [ 2 ],".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Мулари К. Теллури [вд] [ 1 ] [ 2 ] […]",Австралия,2006
2:22,триллер,Пол Карри [англ.],,2017
2-Асса-2,драма,Сергей Соловьёв,Россия,2008
2 Girls 1 Cup,"порнофильм и .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} ЛГБТ-фильм [вд]",Марко Фиорито [вд],Бразилия,5 января 2007
2 секунды,комедия,Манон Брайан,Канада,1998
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977
2 дня в Париже,комедия драма мелодрама,Жюли Дельпи,,2007
1+1: Голливудская история,комедийная драма,Нил Бёргер,США,2017
1+1 (фильм),комедийная драма бадди-муви,Оливье Накаш [ 2 ] Эрик Толедано [ 2 ],Франция,2011
01-99,комедия,Амасий Мартиросян,СССР,1959
1 миля до тебя,драма мелодрама,Лейф Тильден,США,2017
1 % (фильм),криминальный,Стив МакКаллум,Австралия,2017
1 (документальный фильм),документальный,Пол Краудер,США,2013
0-41*,документальный драма комедия,Сенна Хегде,Индия,2016
(Почти) пять Докторов: Перезагрузка,"комедийный фильм , кинопародия",Питер Дэвисон,Великобритания,
(Не)идеальные роботы,"романтическая комедия , научно-фантастический фильм и экранизация литературного произведения [вд]",Энтони Хайнс Каспер Кристенсен,США,2023
(Не)бывшие,драма и мелодрама,Стефан Бризе,Франция,"8 сентября 2023 [ 1 ] , 4 октября 2023 [ 1 ] , 20 марта 2024 [ 1 ] , 21 марта 2024 [ 2 ] , 27 марта 2024 [ 1 ] , 28 марта 2024 [ 1 ] , 1 мая 2024 [ 3 ] и 2 мая 2024 [ 1 ]"
«SOS» над тайгой,"драма , приключения","Аркадий Кольцатый , Валентин Перов",СССР,1976
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958
«Спартак». Действующие лица и… болельщики,"документальный , спорт","Илья Гутман , Иосиф Пастернак",СССР,1985
"«Москвич», любовь моя",драма,Арам Шахбазян,,2015
…которого любили все,документально - биографический фильм,Леонид Осыка,СССР,1982
…И прекрасный миг победы,спортивный фильм,Вячеслав Винник,СССР,1984
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965
? (фильм),драма [ 1 ],".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Ханун Брамантйо [вд] [ 1 ]",Индонезия,7 апреля 2011
